,Location,Distance from Job Hub (km),Compound Name,Year Unit Ready,House Area (sqm),Number of Bedrooms,Number of Bathrooms,Swimming Pool,Gym,Modern Kitchen,Energy Efficient,Garage,Proximity to Schools,Public Transportation,Price
29,Ain Shams,12,,2025,191,3,1,0,0,0,0,0,0,0,1115869
30,New Capitol,2,Compound_76,2028,247,3,3,0,0,1,1,0,0,1,8972632
31,Hadayek Al Obba,17,,2023,134,2,1,0,0,0,0,0,0,0,1206063
32,New Capitol,4,Compound_89,2029,397,3,3,0,0,0,0,1,0,1,7934566
33,Nasr City,9,,2029,232,2,1,0,0,0,0,0,0,0,2692249
34,Nasr City,6,,2024,276,3,2,0,0,0,0,0,0,0,3312669
35,New Capitol,4,Compound_48,2026,117,3,4,0,0,1,0,0,0,0,12515439
36,New Capitol,1,Compound_44,2027,195,4,3,1,0,1,0,1,0,0,4757107
37,New Capitol,4,Compound_46,2027,285,3,2,0,0,1,0,1,0,1,6828312
38,Ain Shams,15,,2024,88,2,1,0,0,0,0,0,0,0,1415306
39,Sheikh Zayed,1,Compound_61,2025,226,5,4,1,0,1,0,0,0,0,12733627
40,New Capitol,1,Compound_93,2026,248,5,3,1,0,1,1,0,1,0,13029174
41,Hadayek Al Ahram,10,,2023,147,2,1,0,0,0,0,0,0,0,3063936
42,5th Settlement,3,Compound_100,2025,162,3,4,0,1,1,1,0,0,1,5353700
43,Sheikh Zayed,3,Compound_9,2023,151,6,4,1,0,1,0,0,0,0,10917492
44,New Capitol,5,Compound_70,2029,132,3,3,0,0,1,0,1,1,0,9598530
45,Zahraa Al Maadi,10,,2027,94,2,1,0,0,0,0,0,0,0,2004572
46,New Capitol,1,Compound_98,2029,248,5,3,0,0,1,0,0,0,0,10042728
47,Nasr City,8,,2022,278,3,1,0,0,0,0,0,0,0,4141838
48,Nasr City,8,,2026,286,3,2,0,0,0,0,0,0,0,1445914
49,Ain Shams,16,,2025,166,3,1,0,0,0,0,0,0,0,1363972
50,Sheikh Zayed,4,Compound_53,2028,203,3,2,1,0,0,0,1,0,0,9771404
51,Sheikh Zayed,4,Compound_81,2027,105,5,2,1,0,1,0,0,0,0,6673457
52,New Capitol,1,Compound_61,2028,239,3,2,0,1,0,1,0,0,0,7508864
53,Hadayek Al Ahram,8,,2027,213,2,1,0,0,0,0,0,0,0,3612337
54,Zahraa Al Maadi,6,,2027,113,4,1,0,0,0,0,0,0,0,1752296
55,Zahraa Al Maadi,9,,2026,81,3,1,0,0,0,0,0,0,0,3035319
56,Hadayek Al Obba,20,,2028,119,3,1,0,0,0,0,0,0,0,1119196
57,5th Settlement,5,Compound_29,2028,133,3,4,1,0,0,0,0,1,0,7208670
58,Sheikh Zayed,5,Compound_68,2023,400,6,2,0,0,1,1,0,0,0,12471971
59,Hadayek Al Ahram,8,,2029,286,3,1,0,0,0,0,0,0,0,2437020
60,Hadayek Al Obba,17,,2028,125,2,1,0,0,0,0,0,0,0,967274
61,New Capitol,2,Compound_42,2028,366,4,2,1,1,1,0,0,1,0,8576586
62,Zahraa Al Maadi,7,,2027,134,2,2,0,0,0,0,0,0,0,1836252
63,Zahraa Al Maadi,9,,2028,127,2,2,0,0,0,0,0,0,0,2061280
64,Nasr City,9,,2026,282,2,2,0,0,0,0,0,0,0,1612086
65,Ain Shams,12,,2025,54,2,1,0,0,0,0,0,0,0,1082179
66,Zahraa Al Maadi,7,,2027,148,4,2,0,0,0,0,0,0,0,2193049
67,Hadayek Al Obba,19,,2026,176,2,1,0,0,0,0,0,0,0,1263517
68,Nasr City,9,,2023,241,4,1,0,0,0,0,0,0,0,4289710
69,Hadayek Al Ahram,8,,2022,96,2,2,0,0,0,0,0,0,0,2051005
70,Ain Shams,13,,2022,99,2,1,0,0,0,0,0,0,0,1361377
71,Ain Shams,16,,2025,104,2,1,0,0,0,0,0,0,0,1310552
72,Hadayek Al Ahram,8,,2027,108,4,1,0,0,0,0,0,0,0,2341851
73,New Capitol,3,Compound_78,2025,330,3,4,0,1,0,0,0,1,0,7211947
74,Sheikh Zayed,4,Compound_73,2024,304,3,3,1,0,0,0,1,1,0,12915818
75,Ain Shams,17,,2028,198,1,1,0,0,0,0,0,0,0,964153
76,Hadayek Al Obba,19,,2029,118,2,1,0,0,0,0,0,0,0,818725
77,Hadayek Al Obba,11,,2024,108,3,1,0,0,0,0,0,0,0,1250717
78,Ain Shams,14,,2028,93,3,1,0,0,0,0,0,0,0,1049763
79,Zahraa Al Maadi,10,,2023,223,4,2,0,0,0,0,0,0,0,1929710
80,Sheikh Zayed,5,Compound_64,2026,390,5,4,0,0,1,0,0,0,0,8143816
81,New Capitol,4,Compound_3,2027,249,3,2,1,0,0,0,0,0,0,9321042
82,Nasr City,9,,2023,183,3,1,0,0,0,0,0,0,0,4137207
83,Zahraa Al Maadi,9,,2022,128,4,2,0,0,0,0,0,0,0,3721844
84,Ain Shams,18,,2028,150,2,1,0,0,0,0,0,0,0,902584
85,5th Settlement,2,Compound_23,2024,212,6,4,0,1,0,0,0,0,1,13116350
86,New Capitol,3,Compound_80,2027,358,3,3,0,1,0,1,1,0,0,11845706
87,Hadayek Al Obba,12,,2024,67,3,1,0,0,0,0,0,0,0,1399186
88,Sheikh Zayed,2,Compound_6,2023,115,6,4,1,1,0,0,1,0,0,11123658
89,Hadayek Al Obba,13,,2024,128,3,1,0,0,0,0,0,0,0,1425542
90,Ain Shams,18,,2027,107,3,1,0,0,0,0,0,0,0,1021632
91,New Capitol,4,Compound_80,2027,377,5,4,0,1,0,1,1,0,1,10403317
92,New Capitol,4,Compound_45,2028,148,4,3,0,0,0,0,1,0,0,4910452
93,Hadayek Al Ahram,6,,2029,140,2,2,0,0,0,0,0,0,0,3018382
94,Ain Shams,12,,2024,102,2,1,0,0,0,0,0,0,0,1294238
95,Hadayek Al Ahram,10,,2027,229,4,2,0,0,0,0,0,0,0,3464628
96,Sheikh Zayed,4,Compound_34,2026,208,6,2,0,1,0,1,0,0,0,11978760
97,Ain Shams,19,,2025,59,2,1,0,0,0,0,0,0,0,1276932
98,Zahraa Al Maadi,6,,2022,224,2,2,0,0,0,0,0,0,0,3372506
99,Ain Shams,19,,2024,148,2,1,0,0,0,0,0,0,0,1475067
100,Hadayek Al Ahram,8,,2028,164,3,1,0,0,0,0,0,0,0,2788797
101,Sheikh Zayed,4,Compound_63,2027,384,5,2,0,0,0,0,1,0,1,11544974
102,5th Settlement,2,Compound_80,2029,136,6,4,0,1,0,0,1,0,1,10737229
103,Ain Shams,12,,2026,123,3,1,0,0,0,0,0,0,0,1257694
104,5th Settlement,5,Compound_53,2025,331,4,3,1,1,0,0,0,0,0,9659101
105,5th Settlement,5,Compound_98,2028,109,6,3,0,1,0,1,0,0,0,11679775
106,5th Settlement,4,Compound_98,2027,112,6,2,0,0,0,0,1,0,0,11423576
107,Zahraa Al Maadi,10,,2025,108,3,1,0,0,0,0,0,0,0,1308381
108,Ain Shams,19,,2023,70,3,1,0,0,0,0,0,0,0,1067545
109,5th Settlement,4,Compound_21,2027,260,4,3,1,0,1,0,0,0,1,10462375
110,Zahraa Al Maadi,6,,2023,246,4,1,0,0,0,0,0,0,0,4082774
111,New Capitol,2,Compound_67,2027,343,4,4,1,1,1,0,1,0,1,7181886
112,New Capitol,1,Compound_30,2026,331,5,4,1,0,1,0,0,1,1,8408757
113,New Capitol,4,Compound_83,2026,380,6,4,0,0,0,0,0,0,1,10923732
114,Ain Shams,18,,2028,58,1,1,0,0,0,0,0,0,0,1056975
115,Zahraa Al Maadi,6,,2028,116,3,1,0,0,0,0,0,0,0,2265283
116,Nasr City,10,,2022,184,4,1,0,0,0,0,0,0,0,4111017
117,Ain Shams,16,,2027,53,3,1,0,0,0,0,0,0,0,1167057
118,Sheikh Zayed,1,Compound_21,2025,370,5,2,0,0,0,1,0,0,1,9459353
119,Nasr City,8,,2025,265,3,2,0,0,0,0,0,0,0,1432263
120,Ain Shams,15,,2024,176,2,1,0,0,0,0,0,0,0,1110158
121,Hadayek Al Ahram,9,,2024,231,2,1,0,0,0,0,0,0,0,2845140
122,Zahraa Al Maadi,6,,2026,195,4,2,0,0,0,0,0,0,0,3278063
123,Ain Shams,16,,2028,65,3,1,0,0,0,0,0,0,0,998898
124,5th Settlement,3,Compound_11,2024,261,5,2,1,0,0,0,0,1,0,8309659
125,Hadayek Al Ahram,6,,2029,178,3,2,0,0,0,0,0,0,0,1340836
126,Hadayek Al Obba,16,,2027,163,3,1,0,0,0,0,0,0,0,1048653
127,Hadayek Al Obba,11,,2028,74,3,1,0,0,0,0,0,0,0,996743
128,Ain Shams,20,,2028,81,1,1,0,0,0,0,0,0,0,1034549
129,Hadayek Al Obba,12,,2029,124,2,1,0,0,0,0,0,0,0,1009380
130,Zahraa Al Maadi,10,,2026,283,2,2,0,0,0,0,0,0,0,3263978
131,Hadayek Al Ahram,7,,2022,208,3,2,0,0,0,0,0,0,0,3178439
132,Ain Shams,18,,2023,160,3,1,0,0,0,0,0,0,0,1200262
133,New Capitol,4,Compound_41,2025,351,4,4,0,0,0,0,1,0,1,14128354
134,New Capitol,3,Compound_85,2029,332,5,4,0,1,1,0,0,1,0,8077184
135,Hadayek Al Ahram,6,,2026,298,2,1,0,0,0,0,0,0,0,2120299
136,Hadayek Al Obba,12,,2023,63,2,1,0,0,0,0,0,0,0,1003426
137,5th Settlement,3,Compound_36,2023,139,3,2,1,0,1,0,1,0,1,6115913
138,5th Settlement,4,Compound_99,2023,136,6,2,1,0,0,0,1,1,0,11877207
139,Nasr City,8,,2022,278,3,2,0,0,0,0,0,0,0,2768609
140,Hadayek Al Ahram,9,,2025,289,4,1,0,0,0,0,0,0,0,2992812
141,New Capitol,4,Compound_13,2027,244,6,3,0,0,0,0,0,0,0,8902255
142,Hadayek Al Ahram,9,,2024,163,3,2,0,0,0,0,0,0,0,1788505
143,Hadayek Al Ahram,10,,2026,106,4,1,0,0,0,0,0,0,0,1601086
144,5th Settlement,3,Compound_79,2023,280,3,2,0,1,0,0,1,0,0,13327457
145,Sheikh Zayed,1,Compound_36,2022,356,6,2,0,0,0,0,0,1,1,14805556
146,5th Settlement,1,Compound_98,2028,300,3,3,1,1,0,0,0,0,0,6549879
147,Ain Shams,19,,2029,194,2,1,0,0,0,0,0,0,0,1039604
148,Sheikh Zayed,4,Compound_19,2022,242,4,3,0,0,0,1,0,0,0,13161038
149,Nasr City,9,,2025,264,2,2,0,0,0,0,0,0,0,4017400
150,5th Settlement,4,Compound_36,2025,275,6,3,0,1,0,1,0,0,1,9238760
151,Sheikh Zayed,2,Compound_53,2023,295,3,2,0,0,1,1,0,1,0,11951811
152,Nasr City,8,,2025,149,4,1,0,0,0,0,0,0,0,3080278
153,Zahraa Al Maadi,9,,2029,259,4,2,0,0,0,0,0,0,0,2155083
154,Hadayek Al Obba,19,,2026,149,1,1,0,0,0,0,0,0,0,973201
155,Nasr City,8,,2025,191,4,1,0,0,0,0,0,0,0,3519860
156,Hadayek Al Ahram,10,,2028,169,4,2,0,0,0,0,0,0,0,3474622
157,Zahraa Al Maadi,7,,2027,225,3,2,0,0,0,0,0,0,0,1465543
158,Zahraa Al Maadi,7,,2028,173,3,1,0,0,0,0,0,0,0,1911587
159,5th Settlement,2,Compound_93,2026,252,6,3,1,0,1,0,1,1,0,9316828
160,Ain Shams,18,,2028,177,3,1,0,0,0,0,0,0,0,964332
161,Hadayek Al Ahram,7,,2025,286,3,1,0,0,0,0,0,0,0,1821240
162,Hadayek Al Obba,16,,2027,169,1,1,0,0,0,0,0,0,0,1220385
163,5th Settlement,1,Compound_8,2023,131,3,2,1,0,1,1,1,1,0,6362983
164,5th Settlement,5,Compound_83,2023,380,5,4,0,0,0,0,0,0,0,9584254
165,5th Settlement,1,Compound_6,2022,205,4,4,0,0,1,0,0,0,0,9610198
166,Ain Shams,20,,2024,73,3,1,0,0,0,0,0,0,0,1134673
167,Hadayek Al Ahram,10,,2026,251,3,1,0,0,0,0,0,0,0,2391877
168,Sheikh Zayed,3,Compound_95,2025,313,5,2,0,1,0,0,1,1,1,6680779
169,Sheikh Zayed,5,Compound_10,2029,367,5,3,1,0,0,1,0,1,0,4308087
170,Hadayek Al Obba,18,,2028,67,3,1,0,0,0,0,0,0,0,1157260
171,5th Settlement,5,Compound_50,2027,189,4,2,0,0,0,1,1,1,0,11305680
172,Hadayek Al Ahram,9,,2029,196,3,2,0,0,0,0,0,0,0,1989383
173,Hadayek Al Ahram,8,,2029,189,4,1,0,0,0,0,0,0,0,1690866
174,Sheikh Zayed,4,Compound_23,2027,237,6,2,1,1,1,0,0,0,0,7519907
175,Ain Shams,18,,2022,102,2,1,0,0,0,0,0,0,0,1055088
176,5th Settlement,2,Compound_42,2023,194,5,2,1,0,0,0,0,1,0,11946627
177,Ain Shams,18,,2028,69,3,1,0,0,0,0,0,0,0,931965
178,Hadayek Al Ahram,10,,2025,294,3,1,0,0,0,0,0,0,0,3112371
179,5th Settlement,4,Compound_90,2025,330,3,4,1,0,1,0,1,0,1,12669517
180,5th Settlement,4,Compound_52,2027,292,5,3,0,0,1,0,1,0,1,9686846
181,Zahraa Al Maadi,7,,2023,127,2,1,0,0,0,0,0,0,0,2403602
182,5th Settlement,3,Compound_92,2026,229,4,3,1,0,1,0,0,0,0,11853791
183,Ain Shams,16,,2024,163,3,1,0,0,0,0,0,0,0,1411448
184,Zahraa Al Maadi,6,,2025,94,2,1,0,0,0,0,0,0,0,3509603
185,Sheikh Zayed,4,Compound_9,2025,166,4,4,0,0,1,0,1,0,0,11240755
186,Hadayek Al Obba,13,,2022,123,1,1,0,0,0,0,0,0,0,1140022
187,Ain Shams,18,,2023,116,3,1,0,0,0,0,0,0,0,1253833
188,Nasr City,6,,2027,134,3,1,0,0,0,0,0,0,0,1401026
189,5th Settlement,4,Compound_27,2023,265,4,3,1,0,0,1,0,0,1,11899661
190,Zahraa Al Maadi,6,,2027,161,2,1,0,0,0,0,0,0,0,3500186
191,Ain Shams,13,,2022,200,2,1,0,0,0,0,0,0,0,1212673
192,Hadayek Al Obba,19,,2026,89,2,1,0,0,0,0,0,0,0,1137549
193,Ain Shams,11,,2028,175,2,1,0,0,0,0,0,0,0,1091643
194,Hadayek Al Ahram,9,,2024,240,2,1,0,0,0,0,0,0,0,3953092
195,Zahraa Al Maadi,10,,2022,85,4,1,0,0,0,0,0,0,0,3291553
196,Ain Shams,13,,2023,196,1,1,0,0,0,0,0,0,0,1442616
197,Sheikh Zayed,2,Compound_76,2022,135,4,4,0,0,0,0,0,0,1,8092588
198,Sheikh Zayed,5,Compound_63,2023,356,6,3,1,1,1,0,0,1,0,6200318
199,Zahraa Al Maadi,8,,2025,197,4,2,0,0,0,0,0,0,0,2235369
200,Zahraa Al Maadi,6,,2024,182,3,1,0,0,0,0,0,0,0,2076090
201,Hadayek Al Ahram,8,,2026,231,3,2,0,0,0,0,0,0,0,1568371
202,5th Settlement,2,Compound_48,2023,363,3,4,0,0,1,0,0,0,0,5699538
203,New Capitol,5,Compound_80,2029,230,3,2,1,1,1,0,0,1,0,7046586
204,Zahraa Al Maadi,8,,2029,280,4,2,0,0,0,0,0,0,0,2763916
205,Ain Shams,12,,2027,59,2,1,0,0,0,0,0,0,0,1137770
206,5th Settlement,3,Compound_71,2027,160,6,2,1,1,0,0,0,1,0,11610169
207,Hadayek Al Obba,19,,2023,108,1,1,0,0,0,0,0,0,0,1346315
208,Sheikh Zayed,2,Compound_54,2028,154,5,2,0,1,0,0,0,1,1,5436882
209,Ain Shams,11,,2028,200,1,1,0,0,0,0,0,0,0,896209
210,5th Settlement,2,Compound_28,2027,276,4,2,0,0,1,0,0,0,0,6736743
211,5th Settlement,5,Compound_6,2026,104,6,2,1,1,1,1,1,1,0,12437718
212,New Capitol,3,Compound_42,2027,342,6,2,0,0,0,0,0,0,0,10192312
213,5th Settlement,3,Compound_57,2022,395,3,2,0,0,0,0,0,0,0,13066821
214,Zahraa Al Maadi,10,,2022,145,3,1,0,0,0,0,0,0,0,2349483
215,Hadayek Al Obba,19,,2022,53,1,1,0,0,0,0,0,0,0,1036550
216,Hadayek Al Obba,16,,2022,178,3,1,0,0,0,0,0,0,0,1249070
217,5th Settlement,3,Compound_2,2022,202,3,2,0,0,0,1,0,1,0,8049023
218,Ain Shams,20,,2024,168,1,1,0,0,0,0,0,0,0,1387403
219,5th Settlement,1,Compound_70,2023,377,4,3,1,1,0,0,1,0,0,13483584
220,Ain Shams,13,,2023,192,3,1,0,0,0,0,0,0,0,1411139
221,Nasr City,9,,2028,83,3,2,0,0,0,0,0,0,0,2591846
222,Zahraa Al Maadi,8,,2022,281,3,1,0,0,0,0,0,0,0,1927548
223,Hadayek Al Obba,20,,2023,116,2,1,0,0,0,0,0,0,0,1257470
224,5th Settlement,3,Compound_82,2023,246,6,2,0,0,1,1,0,0,0,8835198
225,New Capitol,2,Compound_87,2029,178,3,4,0,0,1,0,1,0,0,7171456
226,Hadayek Al Obba,18,,2025,113,2,1,0,0,0,0,0,0,0,1237958
227,Hadayek Al Obba,17,,2023,136,1,1,0,0,0,0,0,0,0,1178867
228,Ain Shams,12,,2027,146,3,1,0,0,0,0,0,0,0,998105
229,Nasr City,6,,2028,246,4,1,0,0,0,0,0,0,0,3324502
230,5th Settlement,5,Compound_5,2028,310,3,2,0,1,0,1,0,0,0,9338776
231,5th Settlement,3,Compound_86,2027,156,4,3,0,0,0,1,0,1,0,11800929
232,Nasr City,9,,2025,206,2,2,0,0,0,0,0,0,0,2565983
233,Ain Shams,12,,2029,146,1,1,0,0,0,0,0,0,0,957450
234,Hadayek Al Ahram,8,,2026,84,2,1,0,0,0,0,0,0,0,3232961
235,5th Settlement,1,Compound_85,2028,289,6,4,0,1,0,0,0,0,0,10986199
236,5th Settlement,4,Compound_29,2022,127,6,2,0,0,0,1,0,0,0,6256483
237,5th Settlement,3,Compound_10,2028,164,5,3,1,0,0,0,1,1,0,9442906
238,Ain Shams,14,,2027,112,2,1,0,0,0,0,0,0,0,1199900
239,Sheikh Zayed,3,Compound_19,2023,339,3,2,1,1,0,0,0,0,0,11276288
240,Ain Shams,20,,2027,60,3,1,0,0,0,0,0,0,0,988029
241,Nasr City,10,,2023,296,4,2,0,0,0,0,0,0,0,4085195
242,Hadayek Al Obba,18,,2023,183,1,1,0,0,0,0,0,0,0,1429657
243,Nasr City,7,,2025,102,2,1,0,0,0,0,0,0,0,1512246
244,Hadayek Al Obba,19,,2023,50,3,1,0,0,0,0,0,0,0,1098363
245,Hadayek Al Ahram,7,,2025,273,4,2,0,0,0,0,0,0,0,2080502
246,Hadayek Al Ahram,7,,2029,138,3,1,0,0,0,0,0,0,0,2352513
247,New Capitol,3,Compound_20,2029,190,3,4,0,1,0,0,0,0,1,9985121
248,Ain Shams,19,,2027,110,1,1,0,0,0,0,0,0,0,993029
249,New Capitol,1,Compound_100,2027,345,6,2,0,0,0,1,0,0,0,11003229
250,Nasr City,8,,2029,237,4,2,0,0,0,0,0,0,0,3244519
251,New Capitol,1,Compound_19,2029,296,4,4,0,0,0,0,1,0,0,6164105
252,Nasr City,9,,2024,269,4,2,0,0,0,0,0,0,0,2750743
253,Hadayek Al Ahram,7,,2027,95,4,2,0,0,0,0,0,0,0,2486928
254,Sheikh Zayed,5,Compound_60,2027,400,4,4,0,1,0,0,1,0,0,8099378
255,New Capitol,5,Compound_59,2028,210,4,4,0,0,0,0,0,0,0,10250760
256,Nasr City,10,,2022,252,3,1,0,0,0,0,0,0,0,2973789
257,Hadayek Al Ahram,9,,2026,252,2,2,0,0,0,0,0,0,0,2943502
258,Hadayek Al Ahram,9,,2025,252,4,1,0,0,0,0,0,0,0,2918783
259,Zahraa Al Maadi,9,,2029,85,3,2,0,0,0,0,0,0,0,1946829
260,Hadayek Al Ahram,10,,2026,104,2,2,0,0,0,0,0,0,0,1528097
261,Nasr City,9,,2022,228,4,1,0,0,0,0,0,0,0,2834956
262,Nasr City,7,,2027,249,4,1,0,0,0,0,0,0,0,3710787
263,Hadayek Al Ahram,8,,2024,173,4,2,0,0,0,0,0,0,0,4292557
264,Hadayek Al Ahram,10,,2022,210,4,2,0,0,0,0,0,0,0,3469133
265,New Capitol,5,Compound_27,2025,242,4,3,1,0,0,0,0,0,0,8338623
266,Sheikh Zayed,2,Compound_55,2026,278,3,2,1,0,0,0,1,1,1,13113531
267,Hadayek Al Obba,13,,2023,195,2,1,0,0,0,0,0,0,0,1490624
268,Ain Shams,16,,2029,129,3,1,0,0,0,0,0,0,0,902687
269,Nasr City,6,,2029,194,4,2,0,0,0,0,0,0,0,1894982
270,Nasr City,9,,2023,88,4,1,0,0,0,0,0,0,0,2182144
271,5th Settlement,4,Compound_39,2027,377,6,4,0,0,1,1,1,0,1,6656970
272,Hadayek Al Ahram,6,,2025,233,2,2,0,0,0,0,0,0,0,2605674
273,Sheikh Zayed,4,Compound_59,2023,135,4,4,0,0,0,0,0,0,0,8043160
274,Hadayek Al Ahram,7,,2028,104,2,2,0,0,0,0,0,0,0,2129542
275,5th Settlement,2,Compound_66,2023,357,6,2,0,0,0,0,0,1,0,11114005
276,5th Settlement,5,Compound_29,2022,245,5,4,0,0,0,1,1,0,0,5754244
277,Zahraa Al Maadi,9,,2027,268,4,1,0,0,0,0,0,0,0,1739858
278,New Capitol,1,Compound_74,2029,261,6,4,0,1,0,1,0,1,0,6960489
279,Zahraa Al Maadi,10,,2024,127,4,1,0,0,0,0,0,0,0,1416790
280,Hadayek Al Ahram,6,,2025,101,4,2,0,0,0,0,0,0,0,3903605
281,Zahraa Al Maadi,9,,2025,194,3,2,0,0,0,0,0,0,0,1371717
282,Zahraa Al Maadi,9,,2022,88,3,2,0,0,0,0,0,0,0,4115422
283,Zahraa Al Maadi,10,,2025,151,3,2,0,0,0,0,0,0,0,2298203
284,Sheikh Zayed,1,Compound_46,2029,174,4,2,1,1,0,0,0,0,0,4913400
285,Ain Shams,20,,2028,155,2,1,0,0,0,0,0,0,0,960633
286,Sheikh Zayed,3,Compound_51,2026,303,3,2,1,1,0,1,1,1,0,7180974
287,New Capitol,3,Compound_87,2027,204,5,3,1,1,0,0,0,0,1,10748695
288,New Capitol,4,Compound_71,2025,194,3,4,0,0,0,1,0,1,0,10448145
289,Hadayek Al Obba,11,,2026,118,1,1,0,0,0,0,0,0,0,921440
290,Nasr City,9,,2029,162,2,1,0,0,0,0,0,0,0,1729812
291,Ain Shams,12,,2024,120,1,1,0,0,0,0,0,0,0,1009218
292,Hadayek Al Ahram,8,,2026,257,3,2,0,0,0,0,0,0,0,3647170
293,Zahraa Al Maadi,10,,2029,297,3,1,0,0,0,0,0,0,0,2499188
294,Ain Shams,14,,2026,70,1,1,0,0,0,0,0,0,0,1087601
295,5th Settlement,3,Compound_27,2028,369,5,4,0,0,1,1,0,1,1,9968250
296,Sheikh Zayed,3,Compound_17,2028,196,6,2,1,1,0,0,1,0,0,7712316
297,Hadayek Al Ahram,10,,2023,166,4,2,0,0,0,0,0,0,0,3159308
298,Hadayek Al Ahram,8,,2025,198,2,2,0,0,0,0,0,0,0,3304964
299,Nasr City,6,,2027,202,3,2,0,0,0,0,0,0,0,2113268
300,Hadayek Al Obba,11,,2027,93,1,1,0,0,0,0,0,0,0,899438
301,Zahraa Al Maadi,7,,2027,129,3,2,0,0,0,0,0,0,0,2587309
302,New Capitol,4,Compound_52,2029,217,3,4,0,0,1,0,0,0,1,10758257
303,Ain Shams,13,,2022,192,3,1,0,0,0,0,0,0,0,1259087
304,Hadayek Al Obba,11,,2026,178,3,1,0,0,0,0,0,0,0,1184864
305,Ain Shams,12,,2025,97,2,1,0,0,0,0,0,0,0,1313302
306,Sheikh Zayed,4,Compound_43,2022,358,5,4,0,0,0,0,1,1,1,9409246
307,New Capitol,3,Compound_21,2027,139,6,2,0,0,1,1,0,0,1,4739882
308,Ain Shams,15,,2022,125,1,1,0,0,0,0,0,0,0,1026134
309,New Capitol,2,Compound_91,2028,197,4,2,0,0,0,0,0,1,1,10414942
310,Sheikh Zayed,1,Compound_27,2023,329,6,4,0,1,0,0,0,0,1,12006137
311,New Capitol,1,Compound_7,2028,394,3,2,1,0,0,0,0,0,0,5221957
312,5th Settlement,2,Compound_82,2024,318,6,4,0,0,1,0,0,1,0,9689210
313,Nasr City,8,,2029,163,4,1,0,0,0,0,0,0,0,2806266
314,5th Settlement,4,Compound_62,2023,155,5,2,0,0,1,1,1,0,0,13743453
315,Nasr City,6,,2024,132,3,2,0,0,0,0,0,0,0,4272252
316,Hadayek Al Obba,14,,2027,70,1,1,0,0,0,0,0,0,0,1103549
317,New Capitol,1,Compound_19,2026,201,3,4,0,0,0,0,0,0,1,6029451
318,Ain Shams,11,,2022,154,2,1,0,0,0,0,0,0,0,1369069
319,Hadayek Al Obba,15,,2026,183,2,1,0,0,0,0,0,0,0,1277776
320,Hadayek Al Ahram,6,,2025,210,2,2,0,0,0,0,0,0,0,2362610
321,New Capitol,3,Compound_2,2028,314,4,4,0,0,1,0,0,1,0,5230880
322,Zahraa Al Maadi,8,,2022,259,2,2,0,0,0,0,0,0,0,1589002
