Date,Item Name,Is Bundle,Price,Sales
2022-01-14,Candy & Soda,Yes,4.5,80
2022-01-14,Nachos & Soda,Yes,6.3,49
2022-01-14,Hotdog & Soda,Yes,8.1,88
2022-01-15,Popcorn,No,5.0,120
2022-01-15,Soda,No,3.0,186
2022-01-15,Candy,No,2.0,158
2022-01-15,Nachos,No,4.0,178
2022-01-15,Hotdog,No,6.0,105
2022-01-15,Popcorn & Soda,Yes,7.2,97
2022-01-15,Candy & Soda,Yes,4.5,64
2022-01-15,Nachos & Soda,Yes,6.3,32
2022-01-15,Hotdog & Soda,Yes,8.1,36
2022-01-16,Popcorn,No,5.0,76
2022-01-16,Soda,No,3.0,50
2022-01-16,Candy,No,2.0,136
2022-01-16,Nachos,No,4.0,90
2022-01-16,Hotdog,No,6.0,172
2022-01-16,Popcorn & Soda,Yes,7.2,71
2022-01-16,Candy & Soda,Yes,4.5,62
2022-01-16,Nachos & Soda,Yes,6.3,79
2022-01-16,Hotdog & Soda,Yes,8.1,92
2022-01-17,Popcorn,No,5.0,176
2022-01-17,Soda,No,3.0,182
2022-01-17,Candy,No,2.0,97
2022-01-17,Nachos,No,4.0,52
2022-01-17,Hotdog,No,6.0,165
2022-01-17,Popcorn & Soda,Yes,7.2,76
2022-01-17,Candy & Soda,Yes,4.5,91
2022-01-17,Nachos & Soda,Yes,6.3,43
2022-01-17,Hotdog & Soda,Yes,8.1,92
2022-01-18,Popcorn,No,5.0,161
2022-01-18,Soda,No,3.0,110
2022-01-18,Candy,No,2.0,144
2022-01-18,Nachos,No,4.0,66
2022-01-18,Hotdog,No,6.0,173
2022-01-18,Popcorn & Soda,Yes,7.2,53
2022-01-18,Candy & Soda,Yes,4.5,52
2022-01-18,Nachos & Soda,Yes,6.3,79
2022-01-18,Hotdog & Soda,Yes,8.1,99
2022-01-19,Popcorn,No,5.0,76
2022-01-19,Soda,No,3.0,64
2022-01-19,Candy,No,2.0,99
2022-01-19,Nachos,No,4.0,85
2022-01-19,Hotdog,No,6.0,57
2022-01-19,Popcorn & Soda,Yes,7.2,32
2022-01-19,Candy & Soda,Yes,4.5,91
2022-01-19,Nachos & Soda,Yes,6.3,76
2022-01-19,Hotdog & Soda,Yes,8.1,90
2022-01-20,Popcorn,No,5.0,165
2022-01-20,Soda,No,3.0,62
2022-01-20,Candy,No,2.0,50
2022-01-20,Nachos,No,4.0,83
2022-01-20,Hotdog,No,6.0,128
2022-01-20,Popcorn & Soda,Yes,7.2,100
2022-01-20,Candy & Soda,Yes,4.5,60
2022-01-20,Nachos & Soda,Yes,6.3,93
2022-01-20,Hotdog & Soda,Yes,8.1,54
2022-01-21,Popcorn,No,5.0,87
2022-01-21,Soda,No,3.0,63
2022-01-21,Candy,No,2.0,185
2022-01-21,Nachos,No,4.0,140
2022-01-21,Hotdog,No,6.0,103
2022-01-21,Popcorn & Soda,Yes,7.2,31
2022-01-21,Candy & Soda,Yes,4.5,85
2022-01-21,Nachos & Soda,Yes,6.3,90
2022-01-21,Hotdog & Soda,Yes,8.1,51
2022-01-22,Popcorn,No,5.0,84
2022-01-22,Soda,No,3.0,65
2022-01-22,Candy,No,2.0,99
2022-01-22,Nachos,No,4.0,171
2022-01-22,Hotdog,No,6.0,177
2022-01-22,Popcorn & Soda,Yes,7.2,72
2022-01-22,Candy & Soda,Yes,4.5,46
2022-01-22,Nachos & Soda,Yes,6.3,87
2022-01-22,Hotdog & Soda,Yes,8.1,31
2022-01-23,Popcorn,No,5.0,181
2022-01-23,Soda,No,3.0,134
2022-01-23,Candy,No,2.0,143
2022-01-23,Nachos,No,4.0,183
2022-01-23,Hotdog,No,6.0,130
2022-01-23,Popcorn & Soda,Yes,7.2,98
2022-01-23,Candy & Soda,Yes,4.5,98
2022-01-23,Nachos & Soda,Yes,6.3,49
2022-01-23,Hotdog & Soda,Yes,8.1,93
2022-01-24,Popcorn,No,5.0,65
2022-01-24,Soda,No,3.0,100
2022-01-24,Candy,No,2.0,154
2022-01-24,Nachos,No,4.0,115
2022-01-24,Hotdog,No,6.0,58
2022-01-24,Popcorn & Soda,Yes,7.2,93
2022-01-24,Candy & Soda,Yes,4.5,51
2022-01-24,Nachos & Soda,Yes,6.3,63
2022-01-24,Hotdog & Soda,Yes,8.1,84
2022-01-25,Popcorn,No,5.0,159
2022-01-25,Soda,No,3.0,146
2022-01-25,Candy,No,2.0,67
2022-01-25,Nachos,No,4.0,120
2022-01-25,Hotdog,No,6.0,176
2022-01-25,Popcorn & Soda,Yes,7.2,30
2022-01-25,Candy & Soda,Yes,4.5,33
2022-01-25,Nachos & Soda,Yes,6.3,33
2022-01-25,Hotdog & Soda,Yes,8.1,56
2022-01-26,Popcorn,No,5.0,108
2022-01-26,Soda,No,3.0,81
2022-01-26,Candy,No,2.0,77
2022-01-26,Nachos,No,4.0,155
2022-01-26,Hotdog,No,6.0,154
2022-01-26,Popcorn & Soda,Yes,7.2,84
2022-01-26,Candy & Soda,Yes,4.5,89
2022-01-26,Nachos & Soda,Yes,6.3,99
2022-01-26,Hotdog & Soda,Yes,8.1,91
2022-01-27,Popcorn,No,5.0,83
2022-01-27,Soda,No,3.0,136
2022-01-27,Candy,No,2.0,163
2022-01-27,Nachos,No,4.0,155
2022-01-27,Hotdog,No,6.0,105
2022-01-27,Popcorn & Soda,Yes,7.2,42
2022-01-27,Candy & Soda,Yes,4.5,85
2022-01-27,Nachos & Soda,Yes,6.3,47
2022-01-27,Hotdog & Soda,Yes,8.1,83
2022-01-28,Popcorn,No,5.0,162
2022-01-28,Soda,No,3.0,88
2022-01-28,Candy,No,2.0,128
2022-01-28,Nachos,No,4.0,195
2022-01-28,Hotdog,No,6.0,200
2022-01-28,Popcorn & Soda,Yes,7.2,83
2022-01-28,Candy & Soda,Yes,4.5,59
2022-01-28,Nachos & Soda,Yes,6.3,87
2022-01-28,Hotdog & Soda,Yes,8.1,97
2022-01-29,Popcorn,No,5.0,116
2022-01-29,Soda,No,3.0,120
2022-01-29,Candy,No,2.0,195
2022-01-29,Nachos,No,4.0,155
2022-01-29,Hotdog,No,6.0,56
2022-01-29,Popcorn & Soda,Yes,7.2,69
2022-01-29,Candy & Soda,Yes,4.5,99
2022-01-29,Nachos & Soda,Yes,6.3,94
2022-01-29,Hotdog & Soda,Yes,8.1,97
2022-01-30,Popcorn,No,5.0,98
2022-01-30,Soda,No,3.0,101
2022-01-30,Candy,No,2.0,163
2022-01-30,Nachos,No,4.0,156
2022-01-30,Hotdog,No,6.0,78
2022-01-30,Popcorn & Soda,Yes,7.2,50
2022-01-30,Candy & Soda,Yes,4.5,38
2022-01-30,Nachos & Soda,Yes,6.3,76
2022-01-30,Hotdog & Soda,Yes,8.1,71
2022-01-31,Popcorn,No,5.0,177
2022-01-31,Soda,No,3.0,69
2022-01-31,Candy,No,2.0,121
2022-01-31,Nachos,No,4.0,114
2022-01-31,Hotdog,No,6.0,162
2022-01-31,Popcorn & Soda,Yes,7.2,53
2022-01-31,Candy & Soda,Yes,4.5,76
2022-01-31,Nachos & Soda,Yes,6.3,100
2022-01-31,Hotdog & Soda,Yes,8.1,92
2022-02-01,Popcorn,No,5.0,109
2022-02-01,Soda,No,3.0,148
2022-02-01,Candy,No,2.0,111
2022-02-01,Nachos,No,4.0,79
2022-02-01,Hotdog,No,6.0,71
2022-02-01,Popcorn & Soda,Yes,7.2,58
2022-02-01,Candy & Soda,Yes,4.5,70
2022-02-01,Nachos & Soda,Yes,6.3,71
2022-02-01,Hotdog & Soda,Yes,8.1,94
2022-02-02,Popcorn,No,5.0,80
2022-02-02,Soda,No,3.0,161
2022-02-02,Candy,No,2.0,195
2022-02-02,Nachos,No,4.0,171
2022-02-02,Hotdog,No,6.0,66
2022-02-02,Popcorn & Soda,Yes,7.2,67
2022-02-02,Candy & Soda,Yes,4.5,43
2022-02-02,Nachos & Soda,Yes,6.3,85
2022-02-02,Hotdog & Soda,Yes,8.1,51
2022-02-03,Popcorn,No,5.0,105
2022-02-03,Soda,No,3.0,168
2022-02-03,Candy,No,2.0,196
2022-02-03,Nachos,No,4.0,106
2022-02-03,Hotdog,No,6.0,84
2022-02-03,Popcorn & Soda,Yes,7.2,30
2022-02-03,Candy & Soda,Yes,4.5,81
2022-02-03,Nachos & Soda,Yes,6.3,99
2022-02-03,Hotdog & Soda,Yes,8.1,66
2022-02-04,Popcorn,No,5.0,114
2022-02-04,Soda,No,3.0,178
2022-02-04,Candy,No,2.0,70
2022-02-04,Nachos,No,4.0,65
2022-02-04,Hotdog,No,6.0,172
2022-02-04,Popcorn & Soda,Yes,7.2,90
2022-02-04,Candy & Soda,Yes,4.5,83
2022-02-04,Nachos & Soda,Yes,6.3,69
2022-02-04,Hotdog & Soda,Yes,8.1,55
2022-02-05,Popcorn,No,5.0,129
2022-02-05,Soda,No,3.0,114
2022-02-05,Candy,No,2.0,149
2022-02-05,Nachos,No,4.0,123
2022-02-05,Hotdog,No,6.0,66
2022-02-05,Popcorn & Soda,Yes,7.2,88
2022-02-05,Candy & Soda,Yes,4.5,52
2022-02-05,Nachos & Soda,Yes,6.3,36
2022-02-05,Hotdog & Soda,Yes,8.1,73
2022-02-06,Popcorn,No,5.0,120
2022-02-06,Soda,No,3.0,157
2022-02-06,Candy,No,2.0,128
2022-02-06,Nachos,No,4.0,95
2022-02-06,Hotdog,No,6.0,127
2022-02-06,Popcorn & Soda,Yes,7.2,45
2022-02-06,Candy & Soda,Yes,4.5,100
2022-02-06,Nachos & Soda,Yes,6.3,48
2022-02-06,Hotdog & Soda,Yes,8.1,31
2022-02-07,Popcorn,No,5.0,59
2022-02-07,Soda,No,3.0,174
2022-02-07,Candy,No,2.0,130
2022-02-07,Nachos,No,4.0,189
2022-02-07,Hotdog,No,6.0,119
2022-02-07,Popcorn & Soda,Yes,7.2,51
2022-02-07,Candy & Soda,Yes,4.5,61
2022-02-07,Nachos & Soda,Yes,6.3,30
2022-02-07,Hotdog & Soda,Yes,8.1,83
2022-02-08,Popcorn,No,5.0,107
2022-02-08,Soda,No,3.0,195
2022-02-08,Candy,No,2.0,183
2022-02-08,Nachos,No,4.0,94
2022-02-08,Hotdog,No,6.0,146
2022-02-08,Popcorn & Soda,Yes,7.2,52
2022-02-08,Candy & Soda,Yes,4.5,52
2022-02-08,Nachos & Soda,Yes,6.3,55
2022-02-08,Hotdog & Soda,Yes,8.1,36
2022-02-09,Popcorn,No,5.0,128
2022-02-09,Soda,No,3.0,93
2022-02-09,Candy,No,2.0,76
2022-02-09,Nachos,No,4.0,75
2022-02-09,Hotdog,No,6.0,146
2022-02-09,Popcorn & Soda,Yes,7.2,65
2022-02-09,Candy & Soda,Yes,4.5,84
2022-02-09,Nachos & Soda,Yes,6.3,93
2022-02-09,Hotdog & Soda,Yes,8.1,86
2022-02-10,Popcorn,No,5.0,118
2022-02-10,Soda,No,3.0,110
2022-02-10,Candy,No,2.0,179
2022-02-10,Nachos,No,4.0,104
2022-02-10,Hotdog,No,6.0,171
2022-02-10,Popcorn & Soda,Yes,7.2,67
2022-02-10,Candy & Soda,Yes,4.5,58
2022-02-10,Nachos & Soda,Yes,6.3,55
2022-02-10,Hotdog & Soda,Yes,8.1,64
2022-02-11,Popcorn,No,5.0,128
2022-02-11,Soda,No,3.0,116
2022-02-11,Candy,No,2.0,136
2022-02-11,Nachos,No,4.0,83
2022-02-11,Hotdog,No,6.0,146
2022-02-11,Popcorn & Soda,Yes,7.2,70
2022-02-11,Candy & Soda,Yes,4.5,70
2022-02-11,Nachos & Soda,Yes,6.3,52
2022-02-11,Hotdog & Soda,Yes,8.1,100
2022-02-12,Popcorn,No,5.0,52
2022-02-12,Soda,No,3.0,107
2022-02-12,Candy,No,2.0,81
2022-02-12,Nachos,No,4.0,80
2022-02-12,Hotdog,No,6.0,131
2022-02-12,Popcorn & Soda,Yes,7.2,72
2022-02-12,Candy & Soda,Yes,4.5,36
2022-02-12,Nachos & Soda,Yes,6.3,30
2022-02-12,Hotdog & Soda,Yes,8.1,90
2022-02-13,Popcorn,No,5.0,63
2022-02-13,Soda,No,3.0,55
2022-02-13,Candy,No,2.0,152
2022-02-13,Nachos,No,4.0,59
2022-02-13,Hotdog,No,6.0,120
2022-02-13,Popcorn & Soda,Yes,7.2,59
2022-02-13,Candy & Soda,Yes,4.5,50
2022-02-13,Nachos & Soda,Yes,6.3,89
2022-02-13,Hotdog & Soda,Yes,8.1,92
2022-02-14,Popcorn,No,5.0,100
2022-02-14,Soda,No,3.0,105
2022-02-14,Candy,No,2.0,90
2022-02-14,Nachos,No,4.0,81
2022-02-14,Hotdog,No,6.0,64
2022-02-14,Popcorn & Soda,Yes,7.2,91
2022-02-14,Candy & Soda,Yes,4.5,56
2022-02-14,Nachos & Soda,Yes,6.3,57
2022-02-14,Hotdog & Soda,Yes,8.1,93
2022-02-15,Popcorn,No,5.0,179
2022-02-15,Soda,No,3.0,176
2022-02-15,Candy,No,2.0,85
2022-02-15,Nachos,No,4.0,163
2022-02-15,Hotdog,No,6.0,62
2022-02-15,Popcorn & Soda,Yes,7.2,44
2022-02-15,Candy & Soda,Yes,4.5,89
2022-02-15,Nachos & Soda,Yes,6.3,51
2022-02-15,Hotdog & Soda,Yes,8.1,92
2022-02-16,Popcorn,No,5.0,123
2022-02-16,Soda,No,3.0,74
2022-02-16,Candy,No,2.0,150
2022-02-16,Nachos,No,4.0,166
2022-02-16,Hotdog,No,6.0,90
2022-02-16,Popcorn & Soda,Yes,7.2,74
2022-02-16,Candy & Soda,Yes,4.5,69
2022-02-16,Nachos & Soda,Yes,6.3,46
2022-02-16,Hotdog & Soda,Yes,8.1,86
2022-02-17,Popcorn,No,5.0,179
2022-02-17,Soda,No,3.0,145
2022-02-17,Candy,No,2.0,170
2022-02-17,Nachos,No,4.0,111
2022-02-17,Hotdog,No,6.0,186
2022-02-17,Popcorn & Soda,Yes,7.2,97
2022-02-17,Candy & Soda,Yes,4.5,46
2022-02-17,Nachos & Soda,Yes,6.3,79
2022-02-17,Hotdog & Soda,Yes,8.1,69
2022-02-18,Popcorn,No,5.0,134
2022-02-18,Soda,No,3.0,198
2022-02-18,Candy,No,2.0,195
2022-02-18,Nachos,No,4.0,123
2022-02-18,Hotdog,No,6.0,158
2022-02-18,Popcorn & Soda,Yes,7.2,46
2022-02-18,Candy & Soda,Yes,4.5,47
2022-02-18,Nachos & Soda,Yes,6.3,71
2022-02-18,Hotdog & Soda,Yes,8.1,74
2022-02-19,Popcorn,No,5.0,131
2022-02-19,Soda,No,3.0,66
2022-02-19,Candy,No,2.0,122
2022-02-19,Nachos,No,4.0,63
2022-02-19,Hotdog,No,6.0,181
2022-02-19,Popcorn & Soda,Yes,7.2,49
2022-02-19,Candy & Soda,Yes,4.5,76
2022-02-19,Nachos & Soda,Yes,6.3,38
2022-02-19,Hotdog & Soda,Yes,8.1,56
2022-02-20,Popcorn,No,5.0,64
2022-02-20,Soda,No,3.0,68
2022-02-20,Candy,No,2.0,139
2022-02-20,Nachos,No,4.0,75
2022-02-20,Hotdog,No,6.0,141
2022-02-20,Popcorn & Soda,Yes,7.2,78
2022-02-20,Candy & Soda,Yes,4.5,82
2022-02-20,Nachos & Soda,Yes,6.3,32
2022-02-20,Hotdog & Soda,Yes,8.1,95
2022-02-21,Popcorn,No,5.0,91
2022-02-21,Soda,No,3.0,68
2022-02-21,Candy,No,2.0,66
2022-02-21,Nachos,No,4.0,125
2022-02-21,Hotdog,No,6.0,112
2022-02-21,Popcorn & Soda,Yes,7.2,32
2022-02-21,Candy & Soda,Yes,4.5,78
2022-02-21,Nachos & Soda,Yes,6.3,84
2022-02-21,Hotdog & Soda,Yes,8.1,55
2022-02-22,Popcorn,No,5.0,148
2022-02-22,Soda,No,3.0,101
2022-02-22,Candy,No,2.0,149
2022-02-22,Nachos,No,4.0,166
2022-02-22,Hotdog,No,6.0,167
2022-02-22,Popcorn & Soda,Yes,7.2,36
2022-02-22,Candy & Soda,Yes,4.5,75
2022-02-22,Nachos & Soda,Yes,6.3,75
2022-02-22,Hotdog & Soda,Yes,8.1,45
2022-02-23,Popcorn,No,5.0,103
2022-02-23,Soda,No,3.0,111
2022-02-23,Candy,No,2.0,178
2022-02-23,Nachos,No,4.0,98
2022-02-23,Hotdog,No,6.0,74
2022-02-23,Popcorn & Soda,Yes,7.2,39
2022-02-23,Candy & Soda,Yes,4.5,45
2022-02-23,Nachos & Soda,Yes,6.3,87
2022-02-23,Hotdog & Soda,Yes,8.1,58
2022-02-24,Popcorn,No,5.0,141
2022-02-24,Soda,No,3.0,183
2022-02-24,Candy,No,2.0,193
2022-02-24,Nachos,No,4.0,197
2022-02-24,Hotdog,No,6.0,129
2022-02-24,Popcorn & Soda,Yes,7.2,100
2022-02-24,Candy & Soda,Yes,4.5,72
2022-02-24,Nachos & Soda,Yes,6.3,55
2022-02-24,Hotdog & Soda,Yes,8.1,100
2022-02-25,Popcorn,No,5.0,75
2022-02-25,Soda,No,3.0,170
2022-02-25,Candy,No,2.0,94
2022-02-25,Nachos,No,4.0,112
2022-02-25,Hotdog,No,6.0,117
2022-02-25,Popcorn & Soda,Yes,7.2,55
2022-02-25,Candy & Soda,Yes,4.5,31
2022-02-25,Nachos & Soda,Yes,6.3,43
2022-02-25,Hotdog & Soda,Yes,8.1,59
2022-02-26,Popcorn,No,5.0,98
2022-02-26,Soda,No,3.0,189
2022-02-26,Candy,No,2.0,93
2022-02-26,Nachos,No,4.0,62
2022-02-26,Hotdog,No,6.0,127
2022-02-26,Popcorn & Soda,Yes,7.2,55
2022-02-26,Candy & Soda,Yes,4.5,50
2022-02-26,Nachos & Soda,Yes,6.3,57
2022-02-26,Hotdog & Soda,Yes,8.1,77
2022-02-27,Popcorn,No,5.0,115
2022-02-27,Soda,No,3.0,136
2022-02-27,Candy,No,2.0,128
2022-02-27,Nachos,No,4.0,72
2022-02-27,Hotdog,No,6.0,130
2022-02-27,Popcorn & Soda,Yes,7.2,77
2022-02-27,Candy & Soda,Yes,4.5,31
2022-02-27,Nachos & Soda,Yes,6.3,49
2022-02-27,Hotdog & Soda,Yes,8.1,88
2022-02-28,Popcorn,No,5.0,95
2022-02-28,Soda,No,3.0,180
2022-02-28,Candy,No,2.0,61
2022-02-28,Nachos,No,4.0,89
2022-02-28,Hotdog,No,6.0,115
2022-02-28,Popcorn & Soda,Yes,7.2,45
2022-02-28,Candy & Soda,Yes,4.5,63
2022-02-28,Nachos & Soda,Yes,6.3,73
2022-02-28,Hotdog & Soda,Yes,8.1,35
2022-03-01,Popcorn,No,5.0,149
2022-03-01,Soda,No,3.0,71
2022-03-01,Candy,No,2.0,67
2022-03-01,Nachos,No,4.0,61
2022-03-01,Hotdog,No,6.0,172
2022-03-01,Popcorn & Soda,Yes,7.2,80
2022-03-01,Candy & Soda,Yes,4.5,100
2022-03-01,Nachos & Soda,Yes,6.3,77
2022-03-01,Hotdog & Soda,Yes,8.1,48
2022-03-02,Popcorn,No,5.0,55
2022-03-02,Soda,No,3.0,133
2022-03-02,Candy,No,2.0,102
2022-03-02,Nachos,No,4.0,156
2022-03-02,Hotdog,No,6.0,150
2022-03-02,Popcorn & Soda,Yes,7.2,77
2022-03-02,Candy & Soda,Yes,4.5,36
2022-03-02,Nachos & Soda,Yes,6.3,88
2022-03-02,Hotdog & Soda,Yes,8.1,98
2022-03-03,Popcorn,No,5.0,60
2022-03-03,Soda,No,3.0,192
2022-03-03,Candy,No,2.0,180
2022-03-03,Nachos,No,4.0,171
2022-03-03,Hotdog,No,6.0,118
2022-03-03,Popcorn & Soda,Yes,7.2,52
2022-03-03,Candy & Soda,Yes,4.5,82
2022-03-03,Nachos & Soda,Yes,6.3,66
2022-03-03,Hotdog & Soda,Yes,8.1,38
2022-03-04,Popcorn,No,5.0,64
2022-03-04,Soda,No,3.0,180
2022-03-04,Candy,No,2.0,142
2022-03-04,Nachos,No,4.0,66
2022-03-04,Hotdog,No,6.0,198
2022-03-04,Popcorn & Soda,Yes,7.2,50
2022-03-04,Candy & Soda,Yes,4.5,40
2022-03-04,Nachos & Soda,Yes,6.3,67
2022-03-04,Hotdog & Soda,Yes,8.1,64
2022-03-05,Popcorn,No,5.0,168
2022-03-05,Soda,No,3.0,63
2022-03-05,Candy,No,2.0,63
2022-03-05,Nachos,No,4.0,59
2022-03-05,Hotdog,No,6.0,189
2022-03-05,Popcorn & Soda,Yes,7.2,67
2022-03-05,Candy & Soda,Yes,4.5,63
2022-03-05,Nachos & Soda,Yes,6.3,70
2022-03-05,Hotdog & Soda,Yes,8.1,39
2022-03-06,Popcorn,No,5.0,171
2022-03-06,Soda,No,3.0,194
2022-03-06,Candy,No,2.0,194
2022-03-06,Nachos,No,4.0,164
2022-03-06,Hotdog,No,6.0,50
2022-03-06,Popcorn & Soda,Yes,7.2,41
2022-03-06,Candy & Soda,Yes,4.5,33
2022-03-06,Nachos & Soda,Yes,6.3,71
2022-03-06,Hotdog & Soda,Yes,8.1,42
2022-03-07,Popcorn,No,5.0,147
2022-03-07,Soda,No,3.0,155
2022-03-07,Candy,No,2.0,134
2022-03-07,Nachos,No,4.0,170
2022-03-07,Hotdog,No,6.0,181
2022-03-07,Popcorn & Soda,Yes,7.2,98
2022-03-07,Candy & Soda,Yes,4.5,48
2022-03-07,Nachos & Soda,Yes,6.3,31
2022-03-07,Hotdog & Soda,Yes,8.1,41
2022-03-08,Popcorn,No,5.0,130
2022-03-08,Soda,No,3.0,123
2022-03-08,Candy,No,2.0,147
2022-03-08,Nachos,No,4.0,55
2022-03-08,Hotdog,No,6.0,185
2022-03-08,Popcorn & Soda,Yes,7.2,80
2022-03-08,Candy & Soda,Yes,4.5,40
2022-03-08,Nachos & Soda,Yes,6.3,92
2022-03-08,Hotdog & Soda,Yes,8.1,86
2022-03-09,Popcorn,No,5.0,176
2022-03-09,Soda,No,3.0,189
2022-03-09,Candy,No,2.0,122
2022-03-09,Nachos,No,4.0,51
2022-03-09,Hotdog,No,6.0,57
2022-03-09,Popcorn & Soda,Yes,7.2,40
2022-03-09,Candy & Soda,Yes,4.5,82
2022-03-09,Nachos & Soda,Yes,6.3,39
2022-03-09,Hotdog & Soda,Yes,8.1,37
